"Source","Target","Correlation","Type"
110,123,0.792270572875513,"undirected"
110,125,0.792270572875513,"undirected"
123,125,1,"undirected"
1,4,1,"undirected"
8,9,0.925971565510704,"undirected"
110,11,0.792270572875513,"undirected"
123,11,1,"undirected"
125,11,1,"undirected"
8,14,0.930004315822508,"undirected"
9,14,0.82893899644485,"undirected"
129,15,0.938228857019419,"undirected"
122,35,0.797672643306852,"undirected"
8,37,0.930004315822508,"undirected"
9,37,0.82893899644485,"undirected"
14,37,1,"undirected"
109,39,0.772403770491314,"undirected"
122,41,0.851158872950276,"undirected"
35,41,0.873043560733173,"undirected"
8,43,0.995914176921096,"undirected"
9,43,0.930104140662103,"undirected"
14,43,0.893013089567202,"undirected"
37,43,0.893013089567202,"undirected"
16,50,0.942807358146915,"undirected"
27,51,1,"undirected"
129,54,0.938228857019419,"undirected"
15,54,1,"undirected"
109,56,0.772403770491314,"undirected"
39,56,1,"undirected"
8,57,0.930004315822508,"undirected"
9,57,0.82893899644485,"undirected"
14,57,1,"undirected"
37,57,1,"undirected"
43,57,0.893013089567202,"undirected"
110,58,0.792270572875513,"undirected"
123,58,1,"undirected"
125,58,1,"undirected"
11,58,1,"undirected"
110,59,0.995102514968365,"undirected"
123,60,0.81494548572283,"undirected"
125,60,0.81494548572283,"undirected"
11,60,0.81494548572283,"undirected"
58,60,0.81494548572283,"undirected"
8,61,0.930004315822508,"undirected"
9,61,0.82893899644485,"undirected"
14,61,1,"undirected"
37,61,1,"undirected"
43,61,0.893013089567202,"undirected"
57,61,1,"undirected"
122,62,0.913771097479705,"undirected"
8,62,0.750003564220555,"undirected"
14,62,0.823167323592799,"undirected"
37,62,0.823167323592799,"undirected"
41,62,0.838103457474978,"undirected"
57,62,0.823167323592799,"undirected"
61,62,0.823167323592798,"undirected"
14,63,0.784980255323364,"undirected"
37,63,0.784980255323364,"undirected"
41,63,0.81241886535492,"undirected"
50,63,0.816497449622303,"undirected"
57,63,0.784980255323364,"undirected"
61,63,0.784980255323364,"undirected"
8,64,0.930004315822508,"undirected"
9,64,0.82893899644485,"undirected"
14,64,1,"undirected"
37,64,1,"undirected"
43,64,0.893013089567202,"undirected"
57,64,1,"undirected"
61,64,1,"undirected"
62,64,0.823167323592799,"undirected"
63,64,0.784980255323364,"undirected"
7,65,0.968520168584681,"undirected"
8,65,0.817518943819518,"undirected"
14,65,0.889098263489445,"undirected"
37,65,0.889098263489444,"undirected"
43,65,0.782532697485283,"undirected"
57,65,0.889098263489444,"undirected"
61,65,0.889098263489445,"undirected"
62,65,0.823053327705763,"undirected"
64,65,0.889098263489445,"undirected"
7,67,0.757305982733419,"undirected"
8,67,0.805072045351064,"undirected"
9,67,0.856487129265209,"undirected"
14,67,0.883015965752157,"undirected"
37,67,0.883015965752157,"undirected"
43,67,0.768786962097951,"undirected"
57,67,0.883015965752157,"undirected"
61,67,0.883015965752157,"undirected"
64,67,0.883015965752157,"undirected"
65,67,0.852264410088045,"undirected"
8,68,0.930004315822508,"undirected"
9,68,0.82893899644485,"undirected"
14,68,1,"undirected"
37,68,1,"undirected"
43,68,0.893013089567203,"undirected"
57,68,1,"undirected"
61,68,1,"undirected"
62,68,0.823167323592798,"undirected"
63,68,0.784980255323364,"undirected"
64,68,1,"undirected"
65,68,0.889098263489444,"undirected"
67,68,0.883015965752157,"undirected"
110,69,0.769903880031012,"undirected"
59,69,0.772860736254195,"undirected"
38,74,0.896621977023365,"undirected"
124,75,0.987065248211839,"undirected"
45,76,1,"undirected"
16,77,1,"undirected"
50,77,0.942807358146915,"undirected"
129,78,0.972198387672981,"undirected"
15,78,0.831122082421136,"undirected"
54,78,0.831122082421136,"undirected"
122,79,0.759718704237157,"undirected"
36,79,0.948511575514782,"undirected"
8,80,0.930004315822508,"undirected"
9,80,0.82893899644485,"undirected"
14,80,1,"undirected"
37,80,1,"undirected"
43,80,0.893013089567202,"undirected"
57,80,1,"undirected"
61,80,1,"undirected"
62,80,0.823167323592799,"undirected"
63,80,0.784980255323364,"undirected"
64,80,1,"undirected"
65,80,0.889098263489444,"undirected"
67,80,0.883015965752157,"undirected"
68,80,1,"undirected"
123,82,0.800416124029179,"undirected"
125,82,0.800416124029179,"undirected"
8,82,0.756381866397533,"undirected"
11,82,0.800416124029179,"undirected"
43,82,0.806615249571176,"undirected"
58,82,0.800416124029179,"undirected"
109,83,0.772403770491314,"undirected"
39,83,1,"undirected"
56,83,1,"undirected"
45,84,0.884807751626517,"undirected"
76,84,0.884807751626518,"undirected"
30,99,0.789760694867388,"undirected"
38,102,0.896621977023365,"undirected"
74,102,1,"undirected"
45,104,1,"undirected"
76,104,1,"undirected"
84,104,0.884807751626518,"undirected"
30,106,0.765831146545826,"undirected"
74,133,0.821078557068332,"undirected"
102,133,0.821078557068332,"undirected"
38,135,0.896621977023365,"undirected"
74,135,1,"undirected"
102,135,1,"undirected"
133,135,0.821078557068332,"undirected"
47,142,1,"undirected"
38,143,0.89425056754471,"undirected"
74,143,0.998734837624215,"undirected"
102,143,0.998734837624215,"undirected"
133,143,0.817825014696892,"undirected"
135,143,0.998734837624215,"undirected"
110,144,0.757138384010573,"undirected"
110,145,0.765340660979243,"undirected"
59,145,0.785934855751414,"undirected"
69,145,0.885605921335881,"undirected"
7,147,0.895258398150787,"undirected"
8,147,0.891677120312751,"undirected"
9,147,0.787271807904099,"undirected"
14,147,0.964935032916649,"undirected"
37,147,0.964935032916649,"undirected"
43,147,0.854700114488559,"undirected"
57,147,0.964935032916649,"undirected"
61,147,0.964935032916649,"undirected"
62,147,0.846015282294579,"undirected"
64,147,0.964935032916649,"undirected"
65,147,0.97795079775744,"undirected"
67,147,0.889939241178329,"undirected"
68,147,0.964935032916649,"undirected"
80,147,0.964935032916649,"undirected"
8,149,0.849305918433904,"undirected"
14,149,0.931323000945074,"undirected"
37,149,0.931323000945075,"undirected"
43,149,0.811078633380925,"undirected"
57,149,0.931323000945075,"undirected"
61,149,0.931323000945075,"undirected"
64,149,0.931323000945075,"undirected"
65,149,0.807080770982683,"undirected"
67,149,0.786190413152604,"undirected"
68,149,0.931323000945075,"undirected"
80,149,0.931323000945075,"undirected"
147,149,0.885847966846356,"undirected"
133,150,0.882022140875006,"undirected"
7,151,0.862688833035844,"undirected"
8,151,0.885035495130724,"undirected"
9,151,0.774322086653279,"undirected"
14,151,0.963551188299196,"undirected"
37,151,0.963551188299196,"undirected"
43,151,0.846908036390711,"undirected"
57,151,0.963551188299196,"undirected"
61,151,0.963551188299196,"undirected"
62,151,0.865231371990891,"undirected"
63,151,0.751370582980646,"undirected"
64,151,0.963551188299196,"undirected"
65,151,0.95500270779285,"undirected"
67,151,0.894616716697074,"undirected"
68,151,0.963551188299196,"undirected"
80,151,0.963551188299196,"undirected"
147,151,0.986833690844579,"undirected"
149,151,0.873668809103061,"undirected"
8,153,0.930004315822508,"undirected"
9,153,0.82893899644485,"undirected"
14,153,1,"undirected"
37,153,1,"undirected"
43,153,0.893013089567203,"undirected"
57,153,1,"undirected"
61,153,1,"undirected"
62,153,0.823167323592798,"undirected"
63,153,0.784980255323364,"undirected"
64,153,1,"undirected"
65,153,0.889098263489445,"undirected"
67,153,0.883015965752157,"undirected"
68,153,1,"undirected"
80,153,1,"undirected"
147,153,0.964935032916649,"undirected"
149,153,0.931323000945074,"undirected"
151,153,0.963551188299196,"undirected"
38,155,0.870345710257688,"undirected"
74,155,0.933769372480237,"undirected"
102,155,0.933769372480237,"undirected"
133,155,0.816557535017942,"undirected"
135,155,0.933769372480237,"undirected"
143,155,0.940972162345892,"undirected"
38,161,0.896621977023365,"undirected"
74,161,1,"undirected"
102,161,1,"undirected"
133,161,0.821078557068331,"undirected"
135,161,1,"undirected"
143,161,0.998734837624215,"undirected"
155,161,0.933769372480237,"undirected"
122,162,0.834071534308763,"undirected"
8,162,0.865775318128024,"undirected"
9,162,0.760068599785167,"undirected"
14,162,0.93826755904808,"undirected"
37,162,0.93826755904808,"undirected"
41,162,0.814266867130892,"undirected"
43,162,0.829537712199555,"undirected"
57,162,0.93826755904808,"undirected"
61,162,0.93826755904808,"undirected"
62,162,0.942632142058073,"undirected"
64,162,0.93826755904808,"undirected"
65,162,0.822398631120878,"undirected"
67,162,0.808109020494067,"undirected"
68,162,0.93826755904808,"undirected"
80,162,0.93826755904808,"undirected"
147,162,0.898327910037454,"undirected"
149,162,0.852559430489338,"undirected"
151,162,0.916977210870907,"undirected"
153,162,0.93826755904808,"undirected"
38,165,0.896621977023365,"undirected"
74,165,1,"undirected"
102,165,1,"undirected"
133,165,0.821078557068332,"undirected"
135,165,1,"undirected"
143,165,0.998734837624215,"undirected"
155,165,0.933769372480237,"undirected"
161,165,1,"undirected"
122,166,0.754850578507844,"undirected"
36,166,0.918563271242899,"undirected"
79,166,0.975030030171739,"undirected"
8,167,0.913290615691517,"undirected"
9,167,0.809528184832613,"undirected"
14,167,0.985724985568519,"undirected"
37,167,0.985724985568519,"undirected"
41,167,0.760038901154455,"undirected"
43,167,0.876055941403676,"undirected"
57,167,0.985724985568519,"undirected"
61,167,0.985724985568519,"undirected"
62,167,0.898935621773517,"undirected"
63,167,0.767979947575708,"undirected"
64,167,0.985724985568519,"undirected"
65,167,0.872125111296396,"undirected"
67,167,0.863019180902522,"undirected"
68,167,0.985724985568519,"undirected"
80,167,0.985724985568519,"undirected"
147,167,0.94854194980305,"undirected"
149,167,0.910319702974696,"undirected"
151,167,0.957045281610464,"undirected"
153,167,0.985724985568519,"undirected"
162,167,0.980576024855817,"undirected"
8,168,0.910117179247104,"undirected"
9,168,0.806245910523932,"undirected"
14,168,0.982684298598977,"undirected"
37,168,0.982684298598977,"undirected"
43,168,0.872917430615357,"undirected"
57,168,0.982684298598977,"undirected"
61,168,0.982684298598977,"undirected"
62,168,0.801076790232893,"undirected"
63,168,0.765010569203668,"undirected"
64,168,0.982684298598977,"undirected"
65,168,0.868991277870913,"undirected"
67,168,0.85959117029312,"undirected"
68,168,0.982684298598977,"undirected"
80,168,0.982684298598977,"undirected"
147,168,0.945344653545558,"undirected"
149,168,0.90671294718858,"undirected"
151,168,0.941285399810591,"undirected"
153,168,0.982684298598977,"undirected"
162,168,0.936930691506612,"undirected"
167,168,0.966923371927053,"undirected"
8,169,0.93557342948146,"undirected"
9,169,0.835032901289156,"undirected"
14,169,0.99973487360206,"undirected"
37,169,0.999734873602059,"undirected"
43,169,0.89989711592227,"undirected"
57,169,0.999734873602059,"undirected"
61,169,0.999734873602059,"undirected"
62,169,0.821531876806926,"undirected"
63,169,0.783618887938681,"undirected"
64,169,0.999734873602059,"undirected"
65,169,0.888010493311806,"undirected"
67,169,0.881310772110551,"undirected"
68,169,0.99973487360206,"undirected"
80,169,0.999734873602059,"undirected"
147,169,0.964158051175022,"undirected"
149,169,0.929541925260436,"undirected"
151,169,0.962286421203658,"undirected"
153,169,0.999734873602059,"undirected"
162,169,0.939056187359165,"undirected"
167,169,0.985150232439823,"undirected"
168,169,0.985355552204882,"undirected"
38,170,0.896621977023365,"undirected"
74,170,1,"undirected"
102,170,1,"undirected"
133,170,0.821078557068331,"undirected"
135,170,1,"undirected"
143,170,0.998734837624215,"undirected"
155,170,0.933769372480237,"undirected"
161,170,1,"undirected"
165,170,1,"undirected"
8,174,0.930004315822508,"undirected"
9,174,0.82893899644485,"undirected"
14,174,1,"undirected"
37,174,1,"undirected"
43,174,0.893013089567203,"undirected"
57,174,1,"undirected"
61,174,1,"undirected"
62,174,0.823167323592799,"undirected"
63,174,0.784980255323364,"undirected"
64,174,1,"undirected"
65,174,0.889098263489444,"undirected"
67,174,0.883015965752157,"undirected"
68,174,1,"undirected"
80,174,1,"undirected"
147,174,0.964935032916649,"undirected"
149,174,0.931323000945075,"undirected"
151,174,0.963551188299196,"undirected"
153,174,1,"undirected"
162,174,0.93826755904808,"undirected"
167,174,0.985724985568519,"undirected"
168,174,0.982684298598977,"undirected"
169,174,0.999734873602059,"undirected"
8,177,0.940720435451981,"undirected"
9,177,0.840389181897142,"undirected"
14,177,0.999038892543039,"undirected"
37,177,0.999038892543038,"undirected"
43,177,0.906370167560256,"undirected"
57,177,0.999038892543038,"undirected"
61,177,0.999038892543038,"undirected"
62,177,0.818807641333929,"undirected"
63,177,0.78132191584071,"undirected"
64,177,0.999038892543038,"undirected"
65,177,0.886098283659216,"undirected"
67,177,0.878463093735305,"undirected"
68,177,0.999038892543038,"undirected"
80,177,0.999038892543038,"undirected"
147,177,0.962953837118018,"undirected"
149,177,0.928868762507724,"undirected"
151,177,0.963103826681425,"undirected"
153,177,0.999038892543038,"undirected"
162,177,0.936779789698761,"undirected"
167,177,0.983988425373874,"undirected"
168,177,0.982355565008389,"undirected"
169,177,0.999358901721822,"undirected"
174,177,0.999038892543038,"undirected"
8,178,0.922878034610939,"undirected"
9,178,0.819039560866199,"undirected"
14,178,0.995242939324379,"undirected"
37,178,0.995242939324379,"undirected"
43,178,0.885456374702158,"undirected"
57,178,0.995242939324379,"undirected"
61,178,0.995242939324379,"undirected"
62,178,0.813654316003861,"undirected"
63,178,0.776691378679739,"undirected"
64,178,0.995242939324379,"undirected"
65,178,0.881503667031458,"undirected"
67,178,0.873005461426532,"undirected"
68,178,0.995242939324379,"undirected"
80,178,0.995242939324379,"undirected"
147,178,0.958286523241776,"undirected"
149,178,0.933917389156345,"undirected"
151,178,0.954981336780584,"undirected"
153,178,0.995242939324379,"undirected"
162,178,0.934864189915469,"undirected"
167,178,0.979798034441819,"undirected"
168,178,0.984883586466439,"undirected"
169,178,0.995477444689221,"undirected"
174,178,0.995242939324379,"undirected"
177,178,0.995516468176058,"undirected"
16,182,0.977584273781308,"undirected"
50,182,0.917774618561707,"undirected"
77,182,0.977584273781308,"undirected"
118,184,1,"undirected"
122,185,0.759718704237157,"undirected"
36,185,0.948511575514782,"undirected"
79,185,1,"undirected"
166,185,0.975030030171739,"undirected"
8,187,0.927249991150285,"undirected"
9,187,0.82492755878974,"undirected"
14,187,0.998313136226383,"undirected"
37,187,0.998313136226383,"undirected"
43,187,0.890055116706223,"undirected"
57,187,0.998313136226383,"undirected"
61,187,0.998313136226383,"undirected"
62,187,0.819323113710619,"undirected"
63,187,0.781657826044062,"undirected"
64,187,0.998313136226383,"undirected"
65,187,0.88612210410977,"undirected"
67,187,0.878977440609108,"undirected"
68,187,0.998313136226383,"undirected"
80,187,0.998313136226383,"undirected"
147,187,0.962969957724307,"undirected"
149,187,0.927093696858236,"undirected"
151,187,0.966786361129976,"undirected"
153,187,0.998313136226383,"undirected"
162,187,0.936358362538327,"undirected"
167,187,0.983519142693371,"undirected"
