"Source","Target","Correlation","Type"
113,120,0.795946262577022,"undirected"
110,7,1,"undirected"
110,8,1,"undirected"
7,8,1,"undirected"
113,15,0.978388429120028,"undirected"
120,15,0.820244046538307,"undirected"
16,17,1,"undirected"
125,19,0.830976093972362,"undirected"
117,24,0.806323273022018,"undirected"
117,26,0.806323273022018,"undirected"
24,26,1,"undirected"
29,35,0.884332186512992,"undirected"
110,38,1,"undirected"
7,38,1,"undirected"
8,38,1,"undirected"
28,41,1,"undirected"
28,42,0.822986574685744,"undirected"
41,42,0.822986574685744,"undirected"
113,43,0.978388429120028,"undirected"
120,43,0.820244046538307,"undirected"
15,43,1,"undirected"
36,54,0.762126435767394,"undirected"
37,59,1,"undirected"
54,60,0.757553096797121,"undirected"
28,67,0.762917890972827,"undirected"
41,67,0.762917890972827,"undirected"
28,69,1,"undirected"
41,69,1,"undirected"
42,69,0.822986574685744,"undirected"
67,69,0.762917890972827,"undirected"
32,81,1,"undirected"
54,90,0.768074838666001,"undirected"
28,91,1,"undirected"
41,91,1,"undirected"
42,91,0.822986574685744,"undirected"
67,91,0.762917890972827,"undirected"
69,91,1,"undirected"
18,93,0.808465942711967,"undirected"
93,100,0.89615826325332,"undirected"
16,102,0.818994324113455,"undirected"
17,102,0.818994324113455,"undirected"
125,103,0.814687160703665,"undirected"
16,104,0.812092208697266,"undirected"
17,104,0.812092208697266,"undirected"
102,104,0.812229937559054,"undirected"
102,105,0.810319385161047,"undirected"
125,136,0.95464009405993,"undirected"
19,136,0.77989129010253,"undirected"
103,136,0.768140112480006,"undirected"
16,138,1,"undirected"
17,138,1,"undirected"
102,138,0.818994324113456,"undirected"
104,138,0.812092208697266,"undirected"
117,141,0.806323273022018,"undirected"
24,141,1,"undirected"
26,141,1,"undirected"
78,142,0.883547522092448,"undirected"
54,143,0.922366758181403,"undirected"
60,143,0.852263332235125,"undirected"
67,144,0.82099509974309,"undirected"
78,144,0.943073293103553,"undirected"
142,144,0.886628065045173,"undirected"
36,145,0.79436179384192,"undirected"
54,145,0.966592986699319,"undirected"
90,145,0.800404704603692,"undirected"
143,145,0.793619771709219,"undirected"
110,146,0.978647595037,"undirected"
7,146,0.978647595037,"undirected"
8,146,0.978647595037,"undirected"
38,146,0.978647595037,"undirected"
110,147,0.888698259834149,"undirected"
7,147,0.888698259834148,"undirected"
8,147,0.888698259834148,"undirected"
29,147,0.815684818310913,"undirected"
35,147,0.950440916209603,"undirected"
38,147,0.888698259834148,"undirected"
146,147,0.862212976258821,"undirected"
16,149,1,"undirected"
17,149,1,"undirected"
102,149,0.818994324113455,"undirected"
104,149,0.812092208697266,"undirected"
138,149,1,"undirected"
142,150,0.796023021753019,"undirected"
16,151,1,"undirected"
17,151,1,"undirected"
102,151,0.818994324113455,"undirected"
104,151,0.812092208697266,"undirected"
138,151,1,"undirected"
149,151,1,"undirected"
16,155,0.83478376940715,"undirected"
17,155,0.83478376940715,"undirected"
35,155,0.781859046331045,"undirected"
138,155,0.834783769407151,"undirected"
149,155,0.83478376940715,"undirected"
151,155,0.834783769407151,"undirected"
78,156,1,"undirected"
142,156,0.883547522092447,"undirected"
144,156,0.943073293103553,"undirected"
114,167,1,"undirected"
28,168,1,"undirected"
41,168,1,"undirected"
42,168,0.822986574685744,"undirected"
67,168,0.762917890972826,"undirected"
69,168,1,"undirected"
91,168,1,"undirected"
78,169,0.980683662802494,"undirected"
